0,1,2,3,4,5,6,7,8,9
29,0,2,1,0,0,21,2,37,0
3,466,164,5,0,10,11,1,9,2
1,191,741,24,0,14,3,7,31,0
2,0,21,40,2,0,7,13,52,0
1,3,1,1,1,0,6,0,7,0
0,37,6,0,0,984,0,0,0,0
15,2,2,11,0,0,121,4,84,0
2,0,10,11,0,0,5,37,52,0
53,20,66,47,1,0,88,84,577,0
0,1,3,0,0,0,0,0,0,0
