source,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
TIC150428135,14.356876969706109,0.8333333333333334,1896.31773275281,0.0,0.0,0.0,0.0,0.005988695077296072,3494.0,4.80892,0.419457,0,0,0,0
TIC307210830,11.073759518675454,1.0,1409.6826753457688,0.0,0.0,0.0,0.0,0.005965077180366157,3429.0,4.91039,0.31416,0,0,0,0
TIC123456789,5.889320234630637,5.666666666666666,12262.850911037016,0.0,0.0,0.0,0.0,0.07776132160785015,4443.0,,11.0504,0,0,0,0
